x,y,spatial_ref,power,heat_pump_power,capex,opex,utc,npv,hprod,cop,cophp,pres,flow_rate,welld,inj_temp,prd_temp,transmissivity_with_ntg,thickness,transmissivity,permeability,temperature,geometry,distance_to_city
150000,458000,0,7.820225239,1.74E-05,14.19690323,-1.497370243,7.054893494,7.868636719,989543.125,8.025760651,5.769156933,49.0821991,256.7312317,1102.539063,39.99993896,69.11101532,14.28531552,118.9223022,14878.98718,125.1151962,69.99993896,POINT (150000 458000),8744.92948
150000,457000,0,7.780566692,0.108358845,14.14299488,-1.495882154,7.074094296,7.77769276,984524.875,7.895791054,5.708396435,48.76456451,255.2599487,1113.867188,39.61675262,68.73327637,14.39339327,117.0571976,14993.11833,128.0836945,69.61675262,POINT (150000 457000),8492.420587
150000,459000,0,7.762028217,0,14.26568508,-1.490800142,7.108663082,7.667488575,982179.0625,7.947473526,0,49.80184174,255.2718201,1091.210938,40.8765564,69.95809174,13.77826861,120.5588989,14343.39824,118.9741974,70.8765564,POINT (150000 459000),9100.354143
139000,465000,0,7.759107113,0,14.81990623,-1.512672305,7.300076008,7.157189311,981809.4375,7.584405422,0,53.41399002,256.8188171,1023.242188,43.32553864,72.31365204,12.39752201,140.3276062,12865.83881,91.68430328,73.32553864,POINT (139000 465000),5433.17864
134000,468000,0,7.742895126,0,14.86241913,-1.511674404,7.323357105,7.080648633,979758.0625,7.55107832,0,53.72532654,256.608551,1023.242188,44.26495361,73.23152161,12.14328514,140.5923004,12625.58266,89.80280304,74.26495361,POINT (134000 468000),7141.950091
136000,469000,0,7.713768959,0,14.28662586,-1.485723376,7.145889759,7.521709999,976072.5,7.876599312,0,50.50281143,253.8989105,1011.914063,40.7142868,69.78326416,13.35387886,139.6972961,13859.75977,99.21279907,70.7142868,POINT (136000 469000),8272.20083
144000,456000,0,7.710690022,0,14.5149641,-1.492383242,7.221243858,7.320199378,975682.9375,7.756869316,0,51.61730576,254.6407928,1068.554688,42.98232269,71.99891663,12.81580623,125.1361008,13120.19442,104.8473969,72.98232269,POINT (144000 456000),2421.762675
146000,455000,0,7.707856655,0,14.31129456,-1.483626246,7.152320385,7.49901062,975324.375,7.892702579,0,50.30332947,253.8530731,1091.210938,41.60259247,70.65972137,13.40624648,119.6268005,13772.59762,115.1296997,71.60259247,POINT (146000 455000),4214.669635
150000,456000,0,7.705034256,0.171670347,14.07682991,-1.485482216,7.101703167,7.629510131,974967.25,7.812601566,5.672558784,48.62004852,252.7591858,1113.867188,39.38689423,68.50107574,14.31263301,114.9835968,14904.33467,129.6213989,69.38689423,POINT (150000 456000),8323.694512
143000,457000,0,7.660580158,0,14.6348381,-1.489044785,7.289978504,7.092733045,969342.1875,7.654174805,0,52.63142395,253.5492859,1045.898438,43.93261719,72.91295624,12.29561192,128.9129944,12587.64497,97.64450073,73.93261719,POINT (143000 457000),1994.500688
134000,467000,0,7.6467309,0,14.86834526,-1.495872617,7.377986431,6.849990325,967589.75,7.505180359,0,54.1906395,253.7140503,1011.914063,44.48057556,73.42433929,11.82181319,141.0935974,12283.67929,87.0605011,74.48057556,POINT (134000 467000),6144.34471
138000,463000,0,7.62674427,0,14.86368179,-1.492392421,7.387561798,6.807135799,965060.6875,7.49857378,0,54.29043579,252.9419403,1000.585938,43.79508972,72.74602509,11.85735407,141.4181061,12227.85844,86.46600342,73.79508972,POINT (138000 463000),3227.388105
139000,464000,0,7.584785461,0,14.83263683,-1.483947992,7.399679184,6.738285992,959751.375,7.502189159,0,54.23112488,251.6313324,1011.914063,43.997612,72.94020844,11.78633092,140.5438995,12210.01827,86.87689972,73.997612,POINT (139000 464000),4623.847661
134000,469000,0,7.553653717,0,14.87378216,-1.480422378,7.431723118,6.627933064,955812.0625,7.462578297,0,54.5908432,251.0618286,1011.914063,45.37762451,74.28826904,11.43906773,140.0458984,11889.6865,84.89849854,75.37762451,POINT (134000 469000),8140.143138
145000,455000,0,7.545721531,0,14.39223766,-1.460349679,7.268242359,7.0424237,954808.375,7.758603096,0,51.56450653,249.3569183,1068.554688,43.04135132,72.0383606,12.49315957,121.1186981,12795.12427,105.6411972,73.04135132,POINT (145000 455000),3227.967147
141000,458000,0,7.506866455,0,14.69073296,-1.46574223,7.3948946,6.681334823,949891.875,7.548727989,0,53.67422104,249.1477509,1023.242188,44.82952881,73.75881195,11.62218614,133.7346954,11877.55343,88.81430054,74.82952881,POINT (141000 458000),1467.463454
148000,463000,0,7.468392849,0,14.57816315,-1.454776883,7.37670517,6.693503208,945023.5,7.604021549,0,53.07543564,247.7394409,1045.898438,44.8372879,73.77108002,11.70598877,128.2642975,12169.65259,94.87950134,74.8372879,POINT (148000 463000),9675.763494
135000,466000,0,7.458699703,0,14.88905144,-1.464877963,7.490949154,6.393693162,943796.9375,7.41520071,0,55.09944153,248.1209564,1000.585938,45.16657257,74.05904388,11.20058375,141.6822052,11617.65762,81.9980011,75.16657257,POINT (135000 466000),5155.791003
149000,460000,0,7.401154518,0,14.41871643,-1.437383533,7.358533382,6.679190516,936515.4375,7.674591541,0,52.3624382,245.16008,1057.226563,43.90493011,72.85655212,11.89319755,123.8816986,12375.8556,99.90059662,73.90493011,POINT (149000 460000),8689.148655
149000,458000,0,7.362180233,0,14.30743122,-1.42652297,7.34099102,6.688141803,931583.75,7.729842663,0,51.81249237,243.5990143,1068.554688,43.20511627,72.17157745,12.06923483,120.8602982,12561.65168,103.9353027,73.20511627,POINT (149000 458000),7798.761157
149000,459000,0,7.356462955,0,14.36885929,-1.428069115,7.366510868,6.618808394,930860.3125,7.685194492,0,52.25050735,243.6549988,1057.226563,43.72524261,72.67586517,11.86067773,122.4971008,12345.87076,100.7850037,73.72524261,POINT (149000 459000),8195.204588
147000,454000,0,7.346125603,0,14.17602921,-1.418820739,7.303315639,6.76811434,929552.25,7.808436871,0,51.0438118,242.6803436,1079.882813,42.41584015,71.40576935,12.34950438,115.4592972,12701.33134,110.0070038,72.41584015,POINT (147000 454000),5177.988104
140000,459000,0,7.324808121,0,14.77253628,-1.438166499,7.528958797,6.183800362,926854.8125,7.421700954,0,54.96179199,243.937149,1000.585938,45.87698364,74.74228668,10.87661917,136.6661987,11123.56212,81.39219666,75.87698364,POINT (140000 459000),1292.137902
134000,466000,0,7.303872585,0,14.89695168,-1.438898444,7.584769726,6.026858209,924205.75,7.346392155,0,55.79669952,243.505661,989.2578125,45.80788422,74.65596771,10.70386267,141.5653076,11095.53524,78.37750244,75.80788422,POINT (134000 466000),5147.668669
137000,464000,0,7.289517879,0,14.90430737,-1.436842322,7.596307278,5.986278884,922389.25,7.334505081,0,55.93913651,243.0292206,977.9296875,45.57750702,74.42546844,10.66666228,141.9476013,11019.27927,77.6292038,75.57750702,POINT (137000 464000),3604.531943
148000,461000,0,7.28330946,0,14.5310955,-1.421765089,7.466482639,6.304227571,921603.75,7.554059982,0,53.54463577,242.0383453,1045.898438,45.23035431,74.1241684,11.23199723,126.8542023,11685.3904,92.11669922,75.23035431,POINT (148000 461000),8366.320524
146000,461000,0,7.275073051,0,14.63536453,-1.424512148,7.509263039,6.190767114,920561.5625,7.483561516,0,54.27785873,242.1091614,1023.242188,45.77661133,74.64829254,10.96248254,130.3238983,11401.43803,87.48539734,75.77661133,POINT (146000 461000),6847.515515
138000,462000,0,7.255778313,0.25315997,13.8305912,-1.411911845,7.285919189,6.728000517,918120.0625,7.572363377,5.619572163,49.58428192,238.65065,977.9296875,39.04167175,68.097435,12.86191839,141.2940063,13221.54417,93.5746994,69.04167175,POINT (138000 462000),2417.78279
148000,462000,0,7.251786709,0,14.5663662,-1.417932272,7.498213768,6.198326326,917614.9375,7.516205311,0,53.92418289,241.2312317,1034.570313,45.6554184,74.53173065,11.02184468,127.6933975,11463.17713,89.77110291,75.6554184,POINT (148000 462000),8989.319171
147000,461000,0,7.210236073,0,14.59170723,-1.411710382,7.53183651,6.079986507,912357.25,7.48527956,0,54.23574829,240.0496521,1034.570313,45.89950562,74.75983429,10.86450808,128.6289978,11303.0671,87.87339783,75.89950562,POINT (147000 461000),7579.043074
138000,466000,0,7.185359478,0,14.86659908,-1.417497516,7.645727158,5.779423134,909209.4375,7.316054821,0,56.08717346,239.875824,989.2578125,46.1689682,74.98791504,10.41104022,140.6394043,10811.04904,76.87069702,76.1689682,POINT (138000 466000),5828.84244
133000,468000,0,7.185134888,0,14.90019226,-1.418765545,7.658168316,5.748702351,909181.0625,7.295744419,0,56.27733231,240.1071625,989.2578125,46.96287537,75.76496887,10.26806662,140.3623047,10676.9953,76.06739807,76.96287537,POINT (133000 468000),7274.872024
133000,469000,0,7.154469967,0,14.90762043,-1.413804054,7.679895878,5.671058797,905300.8125,7.278833389,0,56.43812561,239.2732544,989.2578125,47.4114151,76.19816589,10.13233107,139.9376984,10539.14225,75.31310272,77.4114151,POINT (133000 469000),8257.011697
142000,457000,0,7.118002892,0,14.66517448,-1.398932338,7.615201473,5.799480361,900686.4375,7.399674416,0,55.11677551,237.5022125,1011.914063,46.57549286,75.39577484,10.42380405,130.3441925,10647.39974,81.6867981,76.57549286,POINT (142000 457000),1193.569356
146000,454000,0,7.106408119,0,14.26840687,-1.38233459,7.477608681,6.124093642,899219.25,7.636894226,0,52.67399216,235.8787537,1057.226563,44.23246765,73.13369751,11.24227065,116.9483032,11523.4426,98.53450012,74.23246765,POINT (146000 454000),4180.961007
136000,464000,0,7.074172497,0,14.94240761,-1.401187539,7.742798805,5.455381814,895140.3125,7.228456974,0,57.03116989,236.6929321,966.6015625,46.66593933,75.44250488,9.979127622,142.3815002,10297.31466,72.3219986,76.66593933,POINT (136000 464000),3411.09732
136000,462000,0,7.071119785,0,14.9603548,-1.40116775,7.750907898,5.433437218,894754,7.219464779,0,57.14305496,236.5881042,966.6015625,46.48795319,75.26496124,9.984618075,142.6988068,10242.7351,71.77870178,76.48795319,POINT (136000 462000),1417.708311
133000,467000,0,7.068840981,0,14.90403175,-1.398930907,7.73231554,5.476587653,894465.625,7.246993542,0,56.79367065,236.5522766,977.9296875,47.09500885,75.86728668,9.967247687,140.753006,10352.35503,73.54979706,77.09500885,POINT (133000 467000),6298.355641
136000,465000,0,7.041127205,0,14.9372654,-1.395359397,7.762153625,5.383338161,890958.8125,7.217386246,0,57.12970352,235.7458496,966.6015625,47.03892517,75.80181885,9.861923334,142.0050964,10209.03015,71.89199829,77.03892517,POINT (136000 465000),4405.835881
149000,457000,0,7.029632568,0,14.26618385,-1.369210958,7.523497581,5.947720869,889504.3125,7.605724335,0,52.97097778,233.5604553,1057.226563,44.42726135,73.3079834,11.02744519,118.9854965,11472.58136,96.41999817,74.42726135,POINT (149000 457000),7514.790765
